eval,model,accuracy,f1_macro,baseline,ci_low,ci_high,acc_rooms
insim_5fold,RandomForest,0.8207,0.8212,,,,
insim_5fold,SVM,0.7982,0.7991,,,,
insim_5fold,kNN,0.7972,0.7987,,,,
insim_5fold,XGBoost,0.8173,0.818,,,,
insim_overlap_5fold,RandomForest,0.76,0.7599,,,,
insim_overlap_5fold,SVM,0.779,0.78,,,,
insim_overlap_5fold,kNN,0.7535,0.7544,,,,
insim_overlap_5fold,XGBoost,0.7505,0.7499,,,,
sim2real,RandomForest,0.3582,0.3461,0.3582,0.1644,0.5818,0.4706
sim2real_coarse,RandomForest,0.7463,0.6608,0.5672,0.5479,0.9219,0.8824
sim2real,SVM,0.3582,0.3424,0.3582,0.1551,0.5857,0.4706
sim2real_coarse,SVM,0.7463,0.6689,0.5672,0.5571,0.9138,0.8824
sim2real,kNN,0.3731,0.3716,0.3582,0.1875,0.5781,0.4706
sim2real_coarse,kNN,0.7313,0.6618,0.5672,0.5616,0.8806,0.8824
sim2real,XGBoost,0.4179,0.3975,0.3582,0.2055,0.6438,0.5294
sim2real_coarse,XGBoost,0.806,0.7214,0.5672,0.6269,0.9636,0.8824
abl_rt60_only,RandomForest,0.4627,0.4614,0.3582,0.2658,0.6562,0.5294
abl_rt60_only_coarse,RandomForest,0.7761,0.7111,0.5672,0.5862,0.9344,0.8235
abl_rt60_only,SVM,0.3731,0.3788,0.3582,0.1639,0.5862,0.3529
abl_rt60_only_coarse,SVM,0.7463,0.6644,0.5672,0.5246,0.9315,0.7059
abl_rt60_only,kNN,0.4478,0.4421,0.3582,0.2714,0.625,0.4706
abl_rt60_only_coarse,kNN,0.7612,0.6853,0.5672,0.5658,0.9273,0.7647
abl_rt60_only,XGBoost,0.3582,0.3758,0.3582,0.1803,0.5469,0.4706
abl_rt60_only_coarse,XGBoost,0.7463,0.6694,0.5672,0.5429,0.918,0.8235
abl_no_rt60,RandomForest,0.403,0.3765,0.3582,0.2,0.623,0.4118
abl_no_rt60_coarse,RandomForest,0.6269,0.5934,0.5672,0.4342,0.8083,0.6471
abl_no_rt60,SVM,0.3582,0.3312,0.3582,0.1519,0.5862,0.4706
abl_no_rt60_coarse,SVM,0.6567,0.6081,0.5672,0.4531,0.8507,0.8235
abl_no_rt60,kNN,0.3731,0.3479,0.3582,0.1714,0.5976,0.4706
abl_no_rt60_coarse,kNN,0.6716,0.6184,0.5672,0.4918,0.8429,0.8235
abl_no_rt60,XGBoost,0.403,0.3794,0.3582,0.2069,0.6119,0.4118
abl_no_rt60_coarse,XGBoost,0.6567,0.6055,0.5672,0.4571,0.8429,0.7059
abl_no_edt,RandomForest,0.3433,0.3355,0.3582,0.1571,0.5714,0.4118
abl_no_edt_coarse,RandomForest,0.7463,0.6529,0.5672,0.541,0.9375,0.8235
abl_no_edt,SVM,0.3731,0.3557,0.3582,0.1714,0.5971,0.5294
abl_no_edt_coarse,SVM,0.7612,0.6753,0.5672,0.5658,0.9315,0.8824
abl_no_edt,kNN,0.3433,0.3386,0.3582,0.1507,0.5574,0.4706
abl_no_edt_coarse,kNN,0.7164,0.6512,0.5672,0.5286,0.8806,0.8824
abl_no_edt,XGBoost,0.3582,0.3553,0.3582,0.1644,0.579,0.4706
abl_no_edt_coarse,XGBoost,0.7761,0.6948,0.5672,0.5789,0.9483,0.8824
abl_no_c80,RandomForest,0.3582,0.3422,0.3582,0.1714,0.569,0.5294
abl_no_c80_coarse,RandomForest,0.7463,0.6578,0.5672,0.5526,0.918,0.8824
abl_no_c80,SVM,0.3433,0.3266,0.3582,0.1493,0.5653,0.4706
abl_no_c80_coarse,SVM,0.7164,0.6408,0.5672,0.5263,0.8857,0.8235
abl_no_c80,kNN,0.3433,0.3351,0.3582,0.1639,0.541,0.4706
abl_no_c80_coarse,kNN,0.7015,0.6417,0.5672,0.5205,0.8571,0.8235
abl_no_c80,XGBoost,0.3433,0.3347,0.3582,0.1646,0.5455,0.5294
abl_no_c80_coarse,XGBoost,0.7164,0.6368,0.5672,0.5286,0.8906,0.8235
abl_no_d50,RandomForest,0.3582,0.3516,0.3582,0.1857,0.5636,0.4118
abl_no_d50_coarse,RandomForest,0.7612,0.663,0.5672,0.5817,0.9219,0.8235
abl_no_d50,SVM,0.3582,0.3452,0.3582,0.1551,0.5857,0.4706
abl_no_d50_coarse,SVM,0.7612,0.6791,0.5672,0.5658,0.9315,0.8824
abl_no_d50,kNN,0.3433,0.344,0.3582,0.1507,0.5574,0.4706
abl_no_d50_coarse,kNN,0.7164,0.6526,0.5672,0.5286,0.8806,0.8824
abl_no_d50,XGBoost,0.3731,0.3601,0.3582,0.1714,0.597,0.4706
abl_no_d50_coarse,XGBoost,0.7761,0.698,0.5672,0.5781,0.9375,0.8235
abl_no_ts,RandomForest,0.3731,0.3569,0.3582,0.1781,0.6,0.4706
abl_no_ts_coarse,RandomForest,0.7761,0.6848,0.5672,0.5789,0.9483,0.8824
abl_no_ts,SVM,0.3731,0.3561,0.3582,0.1714,0.5971,0.5294
abl_no_ts_coarse,SVM,0.7463,0.6689,0.5672,0.5571,0.9138,0.8824
abl_no_ts,kNN,0.3582,0.3557,0.3582,0.1711,0.5672,0.4706
abl_no_ts_coarse,kNN,0.7164,0.6517,0.5672,0.5286,0.8806,0.8824
abl_no_ts,XGBoost,0.3881,0.3757,0.3582,0.1791,0.623,0.5294
abl_no_ts_coarse,XGBoost,0.791,0.7083,0.5672,0.5938,0.9655,0.8824
abl_no_drr,RandomForest,0.3134,0.307,0.3582,0.1429,0.5082,0.4118
abl_no_drr_coarse,RandomForest,0.7164,0.6284,0.5672,0.5312,0.8906,0.8235
abl_no_drr,SVM,0.3433,0.3513,0.3582,0.1714,0.5373,0.4118
abl_no_drr_coarse,SVM,0.7313,0.6366,0.5672,0.5312,0.9041,0.8235
abl_no_drr,kNN,0.3284,0.3386,0.3582,0.1644,0.5218,0.4118
abl_no_drr_coarse,kNN,0.7313,0.6366,0.5672,0.5316,0.9062,0.8235
abl_no_drr,XGBoost,0.3731,0.3765,0.3582,0.1918,0.5818,0.5294
abl_no_drr_coarse,XGBoost,0.7761,0.6912,0.5672,0.5781,0.9494,0.8824
