eval,model,seed,accuracy,f1_macro,baseline,ci_low,ci_high,acc_rooms
nn_insim,CNN-24k,42,0.8667,0.8633,,,,
nn_insim_overlap,CNN-24k,42,0.84,0.8346,,,,
nn_sim2real,CNN-24k,42,0.3433,0.2629,0.3582,0.1343,0.5753,0.3529
nn_sim2real_coarse,CNN-24k,42,0.597,0.4216,0.5672,0.3835,0.8125,0.6471
nn_sim2real_adabn,CNN-24k,42,0.3433,0.2686,0.3582,0.1316,0.5781,0.4118
nn_sim2real_coarse_adabn,CNN-24k,42,0.597,0.4507,0.5672,0.3857,0.806,0.6471
nn_insim,CNN-24k,43,0.86,0.8574,,,,
nn_insim_overlap,CNN-24k,43,0.855,0.8497,,,,
nn_sim2real,CNN-24k,43,0.3433,0.26,0.3582,0.1343,0.5753,0.4118
nn_sim2real_coarse,CNN-24k,43,0.597,0.4178,0.5672,0.377,0.806,0.6471
nn_sim2real_adabn,CNN-24k,43,0.3284,0.253,0.3582,0.1233,0.5574,0.3529
nn_sim2real_coarse_adabn,CNN-24k,43,0.5672,0.4041,0.5672,0.3562,0.7761,0.5882
nn_insim,CNN-24k,44,0.852,0.8483,,,,
nn_insim_overlap,CNN-24k,44,0.86,0.8584,,,,
nn_sim2real,CNN-24k,44,0.3284,0.2651,0.3582,0.125,0.5571,0.2941
nn_sim2real_coarse,CNN-24k,44,0.6716,0.4693,0.5672,0.4375,0.8806,0.6471
nn_sim2real_adabn,CNN-24k,44,0.3284,0.2683,0.3582,0.1273,0.5522,0.2353
nn_sim2real_coarse_adabn,CNN-24k,44,0.6119,0.4496,0.5672,0.4,0.8082,0.5294
nn_insim,CNN-24k,45,0.8747,0.8729,,,,
nn_insim_overlap,CNN-24k,45,0.9,0.8982,,,,
nn_sim2real,CNN-24k,45,0.2985,0.2377,0.3582,0.1034,0.5313,0.2353
nn_sim2real_coarse,CNN-24k,45,0.5672,0.3998,0.5672,0.3433,0.7895,0.5294
nn_sim2real_adabn,CNN-24k,45,0.2687,0.1902,0.3582,0.069,0.5075,0.2353
nn_sim2real_coarse_adabn,CNN-24k,45,0.5224,0.3498,0.5672,0.2969,0.7463,0.5294
nn_insim,CNN-24k,46,0.8467,0.8449,,,,
nn_insim_overlap,CNN-24k,46,0.855,0.8499,,,,
nn_sim2real,CNN-24k,46,0.2985,0.2229,0.3582,0.0959,0.5286,0.2353
nn_sim2real_coarse,CNN-24k,46,0.5373,0.3852,0.5672,0.3281,0.7429,0.5294
nn_sim2real_adabn,CNN-24k,46,0.2985,0.2224,0.3582,0.0959,0.5286,0.2353
nn_sim2real_coarse_adabn,CNN-24k,46,0.5224,0.3754,0.5672,0.3143,0.726,0.5294
nn_insim,CNN-94k,42,0.8947,0.8935,,,,
nn_insim_overlap,CNN-94k,42,0.83,0.8237,,,,
nn_sim2real,CNN-94k,42,0.3731,0.3091,0.3582,0.1791,0.5938,0.2941
nn_sim2real_coarse,CNN-94k,42,0.6119,0.4057,0.5672,0.3857,0.8219,0.6471
nn_sim2real_adabn,CNN-94k,42,0.3284,0.2547,0.3582,0.1265,0.5616,0.2941
nn_sim2real_coarse_adabn,CNN-94k,42,0.5672,0.3823,0.5672,0.3443,0.7895,0.5882
nn_insim,CNN-94k,43,0.8773,0.8755,,,,
nn_insim_overlap,CNN-94k,43,0.82,0.8123,,,,
nn_sim2real,CNN-94k,43,0.2985,0.2566,0.3582,0.125,0.5075,0.2353
nn_sim2real_coarse,CNN-94k,43,0.6418,0.4572,0.5672,0.4219,0.8358,0.5882
nn_sim2real_adabn,CNN-94k,43,0.3284,0.2865,0.3582,0.1406,0.5373,0.3529
nn_sim2real_coarse_adabn,CNN-94k,43,0.6269,0.4789,0.5672,0.4328,0.8,0.6471
nn_insim,CNN-94k,44,0.8987,0.8969,,,,
nn_insim_overlap,CNN-94k,44,0.845,0.8424,,,,
nn_sim2real,CNN-94k,44,0.3284,0.2547,0.3582,0.1265,0.5616,0.3529
nn_sim2real_coarse,CNN-94k,44,0.5522,0.3737,0.5672,0.3286,0.7714,0.5882
nn_sim2real_adabn,CNN-94k,44,0.3134,0.2433,0.3582,0.1096,0.5522,0.3529
nn_sim2real_coarse_adabn,CNN-94k,44,0.5224,0.3498,0.5672,0.3,0.7414,0.5882
nn_insim,CNN-94k,45,0.8747,0.8733,,,,
nn_insim_overlap,CNN-94k,45,0.875,0.873,,,,
nn_sim2real,CNN-94k,45,0.2836,0.2135,0.3582,0.0822,0.5224,0.2353
nn_sim2real_coarse,CNN-94k,45,0.6119,0.3968,0.5672,0.3621,0.8358,0.5882
nn_sim2real_adabn,CNN-94k,45,0.2985,0.2389,0.3582,0.1034,0.5313,0.2353
nn_sim2real_coarse_adabn,CNN-94k,45,0.5522,0.3929,0.5672,0.3281,0.7714,0.4706
nn_insim,CNN-94k,46,0.876,0.8759,,,,
nn_insim_overlap,CNN-94k,46,0.845,0.8411,,,,
nn_sim2real,CNN-94k,46,0.3134,0.242,0.3582,0.1094,0.5616,0.2941
nn_sim2real_coarse,CNN-94k,46,0.5672,0.3737,0.5672,0.3421,0.7812,0.5882
nn_sim2real_adabn,CNN-94k,46,0.3134,0.2424,0.3582,0.1094,0.5616,0.2941
nn_sim2real_coarse_adabn,CNN-94k,46,0.5821,0.3806,0.5672,0.3448,0.7969,0.5882
nn_insim,CNN-370k,42,0.8987,0.8975,,,,
nn_insim_overlap,CNN-370k,42,0.83,0.8246,,,,
nn_sim2real,CNN-370k,42,0.3284,0.259,0.3582,0.1311,0.5625,0.2941
nn_sim2real_coarse,CNN-370k,42,0.5821,0.3774,0.5672,0.3443,0.8033,0.5882
nn_sim2real_adabn,CNN-370k,42,0.3134,0.2419,0.3582,0.1143,0.5522,0.2941
nn_sim2real_coarse_adabn,CNN-370k,42,0.5672,0.3726,0.5672,0.3421,0.7869,0.5294
nn_insim,CNN-370k,43,0.8947,0.8938,,,,
nn_insim_overlap,CNN-370k,43,0.875,0.8736,,,,
nn_sim2real,CNN-370k,43,0.3284,0.2539,0.3582,0.1265,0.5616,0.2941
nn_sim2real_coarse,CNN-370k,43,0.5821,0.3896,0.5672,0.3582,0.8026,0.5882
nn_sim2real_adabn,CNN-370k,43,0.3134,0.247,0.3582,0.1148,0.541,0.2353
nn_sim2real_coarse_adabn,CNN-370k,43,0.5522,0.3765,0.5672,0.3286,0.7722,0.5294
nn_insim,CNN-370k,44,0.9053,0.9047,,,,
nn_insim_overlap,CNN-370k,44,0.855,0.855,,,,
nn_sim2real,CNN-370k,44,0.3582,0.292,0.3582,0.1639,0.5821,0.2941
nn_sim2real_coarse,CNN-370k,44,0.6119,0.4058,0.5672,0.3881,0.8209,0.6471
nn_sim2real_adabn,CNN-370k,44,0.3284,0.2779,0.3582,0.1311,0.5522,0.2353
nn_sim2real_coarse_adabn,CNN-370k,44,0.5821,0.4075,0.5672,0.3582,0.7969,0.5294
nn_insim,CNN-370k,45,0.9053,0.9053,,,,
nn_insim_overlap,CNN-370k,45,0.87,0.8687,,,,
nn_sim2real,CNN-370k,45,0.3284,0.2632,0.3582,0.1311,0.5625,0.2941
nn_sim2real_coarse,CNN-370k,45,0.5522,0.3653,0.5672,0.3273,0.7808,0.5294
nn_sim2real_adabn,CNN-370k,45,0.2836,0.2174,0.3582,0.0822,0.5224,0.2353
nn_sim2real_coarse_adabn,CNN-370k,45,0.5373,0.3602,0.5672,0.3103,0.7612,0.4706
nn_insim,CNN-370k,46,0.8933,0.8938,,,,
nn_insim_overlap,CNN-370k,46,0.875,0.8742,,,,
nn_sim2real,CNN-370k,46,0.3284,0.2615,0.3582,0.1311,0.5625,0.2941
nn_sim2real_coarse,CNN-370k,46,0.6119,0.3949,0.5672,0.3699,0.8358,0.6471
nn_sim2real_adabn,CNN-370k,46,0.3134,0.2411,0.3582,0.1096,0.5522,0.2941
nn_sim2real_coarse_adabn,CNN-370k,46,0.597,0.3856,0.5672,0.3571,0.8209,0.5882
nn_insim,ResNet18-pt,42,0.9013,0.9016,,,,
nn_insim_overlap,ResNet18-pt,42,0.855,0.8556,,,,
nn_sim2real,ResNet18-pt,42,0.3433,0.3355,0.3582,0.1642,0.5429,0.4118
nn_sim2real_coarse,ResNet18-pt,42,0.6119,0.4835,0.5672,0.4062,0.8,0.7059
nn_sim2real_adabn,ResNet18-pt,42,0.3582,0.3493,0.3582,0.1781,0.5479,0.3529
nn_sim2real_coarse_adabn,ResNet18-pt,42,0.6119,0.5203,0.5672,0.4246,0.7761,0.7647
nn_insim,ResNet18-pt,43,0.892,0.8908,,,,
nn_insim_overlap,ResNet18-pt,43,0.89,0.8912,,,,
nn_sim2real,ResNet18-pt,43,0.2985,0.2775,0.3582,0.1233,0.5002,0.2353
nn_sim2real_coarse,ResNet18-pt,43,0.5373,0.3893,0.5672,0.3151,0.75,0.5294
nn_sim2real_adabn,ResNet18-pt,43,0.2985,0.2879,0.3582,0.1343,0.5,0.2353
nn_sim2real_coarse_adabn,ResNet18-pt,43,0.5522,0.4304,0.5672,0.3571,0.7534,0.5882
nn_insim,ResNet18-pt,44,0.9067,0.9068,,,,
nn_insim_overlap,ResNet18-pt,44,0.9,0.902,,,,
nn_sim2real,ResNet18-pt,44,0.4478,0.4294,0.3582,0.2571,0.6418,0.4118
nn_sim2real_coarse,ResNet18-pt,44,0.6418,0.5367,0.5672,0.4571,0.8103,0.5882
nn_sim2real_adabn,ResNet18-pt,44,0.4179,0.4068,0.3582,0.2344,0.6066,0.4118
nn_sim2real_coarse_adabn,ResNet18-pt,44,0.597,0.5265,0.5672,0.4285,0.7586,0.5882
nn_insim,ResNet18-pt,45,0.9013,0.9018,,,,
nn_insim_overlap,ResNet18-pt,45,0.84,0.8427,,,,
nn_sim2real,ResNet18-pt,45,0.3881,0.3515,0.3582,0.2055,0.589,0.4118
nn_sim2real_coarse,ResNet18-pt,45,0.6567,0.4603,0.5672,0.4286,0.8594,0.6471
nn_sim2real_adabn,ResNet18-pt,45,0.3731,0.3428,0.3582,0.2025,0.5575,0.4118
nn_sim2real_coarse_adabn,ResNet18-pt,45,0.6269,0.4705,0.5672,0.4286,0.8082,0.7059
nn_insim,ResNet18-pt,46,0.9107,0.9116,,,,
nn_insim_overlap,ResNet18-pt,46,0.895,0.8963,,,,
nn_sim2real,ResNet18-pt,46,0.3284,0.3108,0.3582,0.1406,0.5373,0.4118
